activity_id,sister_id,month,clients_contacted,new_users,follow_up_completed,referrals,stockout_days,community_sessions,travel_km,reported_work_days
437,LS0110,3/1/2025,40,19,13,5,3,10,28.4,25
438,LS0111,6/1/2025,41,23,20,3,5,5,81.7,17
439,LS0112,12/1/2025,20,9,5,2,12,7,238.1,13
440,LS0112,7/1/2025,15,11,9,0,11,6,137.2,25
441,LS0112,11/1/2025,32,17,14,5,1,5,62.2,16
442,LS0113,1/1/2025,44,28,23,2,5,4,92.6,12
443,LS0113,11/1/2025,19,13,10,2,3,1,116.9,19
444,LS0113,8/1/2025,17,12,9,1,12,0,83,15
445,LS0113,6/1/2025,20,9,6,0,4,0,89.2,21
446,LS0113,4/1/2025,18,9,6,2,2,3,71.1,24
447,LS0113,12/1/2025,40,24,14,3,2,2,88.5,19
448,LS0114,10/1/2025,42,26,20,1,5,10,77.6,10
449,LS0114,2/1/2025,40,28,20,2,1,10,63.2,26
450,LS0114,4/1/2025,29,16,9,2,1,10,118,13
451,LS0114,6/1/2025,39,18,14,4,5,5,188.3,23
452,LS0114,5/1/2025,35,26,20,2,0,3,140.4,13
453,LS0115,6/1/2025,30,19,11,3,0,6,169.4,25
454,LS0115,2/1/2025,56,23,14,8,7,7,201.3,17
455,LS0115,11/1/2025,46,28,16,2,2,12,186.1,13
456,LS0115,3/1/2025,30,21,16,3,1,1,142.9,25
457,LS0116,5/1/2025,17,12,6,2,14,7,40.2,15
458,LS0116,3/1/2025,14,10,8,0,15,1,37.1,20
459,LS0117,11/1/2025,31,23,13,1,4,1,103.1,16
460,LS0117,8/1/2025,32,24,14,3,1,8,194.9,13
461,LS0117,1/1/2025,36,22,17,5,3,2,201.6,25
462,LS0118,6/1/2025,31,22,15,0,2,4,243,12
463,LS0118,5/1/2025,11,7,5,1,5,1,202.8,25
464,LS0118,10/1/2025,26,17,11,2,1,6,111.9,22
465,LS0118,4/1/2025,28,13,8,4,1,11,124.4,15
466,LS0118,1/1/2025,41,25,18,4,2,3,173.3,18
467,LS0119,2/1/2025,37,25,14,3,2,4,56.9,13
468,LS0120,2/1/2025,27,16,13,3,3,0,29.6,21
469,LS0121,8/1/2025,12,8,7,1,0,12,36.3,13
470,LS0122,2/1/2025,31,16,9,3,2,0,32.9,25
471,LS0122,5/1/2025,40,25,20,0,5,11,40.5,25
472,LS0123,7/1/2025,22,13,7,1,3,8,31.7,10
473,LS0123,2/1/2025,18,8,5,2,1,8,45.4,16
474,LS0123,4/1/2025,28,17,10,3,1,5,26.9,22
475,LS0123,12/1/2025,38,23,17,0,1,7,15.7,24
476,LS0123,8/1/2025,7,4,3,1,11,0,23.4,22
477,LS0123,10/1/2025,35,14,10,1,4,1,25.9,20
478,LS0124,9/1/2025,33,14,7,3,2,3,160.8,13
479,LS0124,7/1/2025,27,12,10,4,5,8,118.5,10
480,LS0124,8/1/2025,40,28,20,4,3,0,224.8,16
481,LS0124,6/1/2025,29,14,12,3,5,3,103.4,20
482,LS0124,12/1/2025,19,10,6,1,7,6,139.5,26
483,LS0124,4/1/2025,32,15,12,4,2,1,92.5,18
484,LS0125,5/1/2025,29,17,11,0,3,8,32.8,16
485,LS0125,1/1/2025,16,9,6,1,8,0,49.6,17
486,LS0125,4/1/2025,23,10,7,3,0,1,13.4,18
487,LS0125,11/1/2025,16,9,5,2,0,9,41.2,18
488,LS0126,4/1/2025,29,20,15,2,0,2,119.9,11
489,LS0126,7/1/2025,34,18,13,3,2,2,99.2,20
490,LS0126,3/1/2025,46,32,25,0,0,7,89,16
491,LS0126,6/1/2025,25,18,11,1,3,5,130.5,25
492,LS0127,10/1/2025,25,11,9,1,0,9,78.6,25
493,LS0128,5/1/2025,42,29,15,5,3,4,171,12
494,LS0128,3/1/2025,22,13,8,3,13,10,153.2,15
495,LS0128,4/1/2025,41,23,17,0,2,8,121.5,12
496,LS0129,1/1/2025,32,21,16,0,4,7,16.1,17
497,LS0129,8/1/2025,32,23,13,2,1,7,32.6,20
498,LS0129,9/1/2025,20,8,5,1,3,6,42.7,17
499,LS0130,3/1/2025,50,22,12,2,3,2,176,23
500,LS0130,9/1/2025,39,19,13,4,6,2,120.1,21
501,LS0130,2/1/2025,45,25,15,0,1,5,158.2,20
502,LS0130,8/1/2025,36,16,10,4,6,9,178.2,15
503,LS0131,8/1/2025,33,18,15,4,1,11,27.2,22
504,LS0131,6/1/2025,27,14,7,0,2,11,41.7,23
505,LS0131,11/1/2025,28,12,9,3,1,10,25.8,15
506,LS0131,1/1/2025,34,17,9,4,2,7,28.2,12
507,LS0132,5/1/2025,5,4,2,0,2,2,16.8,26
508,LS0132,2/1/2025,37,24,13,2,1,5,44.5,22
509,LS0132,9/1/2025,36,20,17,3,3,0,43.7,23
510,LS0133,8/1/2025,18,9,6,1,2,8,173.7,17
511,LS0133,4/1/2025,29,12,7,0,3,6,76.5,22
512,LS0133,10/1/2025,26,17,13,2,14,1,199.8,10
513,LS0133,6/1/2025,17,11,6,2,13,4,154.6,17
514,LS0133,2/1/2025,24,17,9,2,1,10,162,19
515,LS0133,5/1/2025,18,13,11,3,0,9,104.3,14
516,LS0134,3/1/2025,14,6,3,2,2,0,36.5,12
517,LS0134,4/1/2025,22,10,5,1,10,0,40.7,25
518,LS0134,11/1/2025,18,9,5,2,2,4,36.2,17
519,LS0134,9/1/2025,9,4,3,1,0,6,40.6,25
520,LS0135,7/1/2025,10,5,3,1,1,10,60.9,19
521,LS0135,1/1/2025,35,25,15,3,3,8,98.2,12
522,LS0135,4/1/2025,21,15,8,3,5,12,92.3,26
523,LS0135,9/1/2025,45,23,19,6,5,12,110.7,17
524,LS0135,10/1/2025,31,23,15,3,2,6,62.5,20
525,LS0136,12/1/2025,27,18,14,2,3,4,27.3,22
526,LS0136,8/1/2025,35,17,10,5,1,1,28.3,15
527,LS0137,3/1/2025,24,13,11,2,11,0,101,24
528,LS0137,11/1/2025,14,6,3,1,8,4,144.9,23
529,LS0137,1/1/2025,20,11,7,2,8,1,123.3,12
530,LS0138,7/1/2025,10,7,5,1,3,6,50.2,24
531,LS0139,8/1/2025,17,12,7,0,2,9,53.2,14
532,LS0139,6/1/2025,11,7,4,1,14,0,14,26
533,LS0139,12/1/2025,43,23,17,5,2,4,27.7,11
534,LS0139,9/1/2025,19,14,9,0,9,0,17.1,19
535,LS0139,7/1/2025,20,14,8,2,12,8,37.6,17
536,LS0139,5/1/2025,31,18,12,2,2,3,26.5,11
537,LS0140,9/1/2025,14,6,5,2,3,0,71.5,20
538,LS0140,3/1/2025,30,14,10,4,1,3,69.5,18
539,LS0140,5/1/2025,30,20,17,3,2,11,91.7,12
540,LS0140,2/1/2025,39,16,10,2,2,10,98.6,20
541,LS0141,9/1/2025,31,22,18,4,1,1,20.1,22
542,LS0141,11/1/2025,11,6,4,1,0,7,27.6,19
543,LS0141,7/1/2025,11,5,3,1,0,6,31.4,16
544,LS0141,3/1/2025,26,19,10,2,1,12,33.1,23
545,LS0142,4/1/2025,22,9,7,1,3,2,87.4,21
546,LS0142,8/1/2025,39,26,14,1,2,9,50.9,17
547,LS0142,11/1/2025,45,22,14,2,3,4,78.6,15
548,LS0142,2/1/2025,16,7,6,1,8,6,36.6,21
549,LS0142,12/1/2025,46,28,22,6,6,9,83.3,23
550,LS0143,6/1/2025,30,14,11,4,3,10,34.9,26
551,LS0143,5/1/2025,27,12,7,1,3,2,23.3,18
552,LS0143,12/1/2025,14,7,5,2,8,0,45.4,14
553,LS0143,2/1/2025,20,12,8,1,4,1,22.4,20
554,LS0143,8/1/2025,39,22,18,2,2,4,50.5,18
555,LS0143,9/1/2025,37,28,19,5,1,9,21.4,13
556,LS0144,9/1/2025,11,7,5,1,9,4,26.6,21
557,LS0144,10/1/2025,30,14,11,3,3,8,24.7,11
558,LS0144,4/1/2025,5,2,1,1,10,5,27.3,19
559,LS0145,4/1/2025,31,20,10,2,11,2,29.6,17
560,LS0145,6/1/2025,36,24,20,4,0,11,26.8,24
561,LS0145,8/1/2025,26,19,11,1,0,7,43.1,17
562,LS0146,4/1/2025,22,12,6,3,3,0,14.1,23
563,LS0146,2/1/2025,10,6,4,1,0,9,33.4,12
564,LS0146,3/1/2025,32,19,10,0,2,0,49,10
565,LS0146,5/1/2025,13,9,7,1,13,0,26.7,12
566,LS0146,12/1/2025,18,11,7,1,2,5,37.9,18
567,LS0146,8/1/2025,40,30,25,4,5,8,24.1,14
568,LS0147,11/1/2025,40,19,14,3,3,0,69.8,12
569,LS0147,5/1/2025,33,20,10,2,6,7,137.1,10
570,LS0147,9/1/2025,20,12,7,0,0,1,154.4,13
571,LS0147,1/1/2025,26,13,8,3,0,10,104.4,12
572,LS0147,7/1/2025,29,15,12,4,3,9,154,10
573,LS0148,3/1/2025,14,10,8,0,9,6,103,26
574,LS0148,4/1/2025,37,25,20,3,0,7,69.5,14
575,LS0148,12/1/2025,16,9,6,1,3,0,101.6,11
576,LS0148,11/1/2025,56,25,13,3,2,0,70.1,26
577,LS0148,9/1/2025,15,9,7,2,12,6,91.6,11
578,LS0148,1/1/2025,36,15,8,2,2,4,55.4,25
579,LS0149,12/1/2025,40,24,18,1,0,4,118.6,13
580,LS0149,5/1/2025,26,18,15,4,1,5,81.2,18
581,LS0149,6/1/2025,31,23,17,1,3,9,106.6,19
582,LS0149,8/1/2025,37,17,11,1,6,6,84,11
583,LS0150,7/1/2025,13,6,4,2,2,11,204,25
584,LS0150,6/1/2025,30,22,14,4,0,10,183.6,23
585,LS0150,2/1/2025,21,12,7,1,4,2,142.6,14
586,LS0150,1/1/2025,27,14,10,3,3,9,160.9,22
587,LS0151,6/1/2025,21,12,7,3,3,6,71.8,23
588,LS0151,3/1/2025,32,23,15,5,2,9,83.5,23
589,LS0151,9/1/2025,7,4,3,1,3,7,78.8,15
590,LS0151,8/1/2025,38,23,16,4,1,12,93.4,10
591,LS0151,12/1/2025,47,22,18,1,2,4,80.1,23
592,LS0152,11/1/2025,44,22,17,6,6,11,84.4,26
593,LS0152,6/1/2025,23,11,6,3,9,1,96.3,13
594,LS0153,3/1/2025,16,11,8,0,14,9,25.5,24
595,LS0153,2/1/2025,32,14,12,3,10,0,39.8,18
596,LS0153,8/1/2025,64,43,26,6,6,12,45.3,24
597,LS0153,11/1/2025,13,9,7,2,4,0,24.5,21
598,LS0154,10/1/2025,34,21,17,1,2,7,30.4,21
599,LS0154,5/1/2025,46,32,17,7,0,7,39.5,25
600,LS0154,8/1/2025,42,20,16,5,2,0,47,22
601,LS0155,3/1/2025,33,14,8,3,0,5,107.4,18
602,LS0155,12/1/2025,29,19,10,3,5,2,86.7,16
603,LS0155,10/1/2025,21,13,7,1,9,9,78.2,20
604,LS0156,9/1/2025,21,15,10,1,3,8,16.3,16
605,LS0156,5/1/2025,33,21,11,1,1,3,25.2,23
606,LS0156,1/1/2025,27,19,10,3,1,6,6,17
607,LS0156,11/1/2025,33,14,7,2,3,7,25.9,10
608,LS0157,8/1/2025,34,24,16,5,2,12,38.3,20
609,LS0158,12/1/2025,26,18,14,3,2,1,39.2,21
610,LS0158,7/1/2025,19,9,6,2,15,0,34.7,16
611,LS0158,3/1/2025,37,21,17,2,4,4,34.4,22
612,LS0158,5/1/2025,20,14,12,1,7,0,20,20
613,LS0158,8/1/2025,17,8,5,1,10,2,29.9,16
614,LS0158,9/1/2025,22,16,10,2,15,0,27.3,24
615,LS0159,6/1/2025,42,23,14,1,4,1,103.2,21
616,LS0159,12/1/2025,29,18,12,2,1,12,113.3,16
617,LS0159,2/1/2025,13,9,5,0,14,0,68,12
618,LS0159,5/1/2025,49,35,26,1,1,3,81.9,17
619,LS0160,2/1/2025,17,12,7,2,0,5,34.3,14
620,LS0160,7/1/2025,42,31,21,6,1,2,109.3,26
621,LS0160,12/1/2025,29,12,10,0,0,5,104.7,20
622,LS0160,3/1/2025,15,9,7,2,5,11,69.2,26
623,LS0160,4/1/2025,62,37,28,8,0,7,68.5,26
624,LS0160,6/1/2025,37,15,11,4,5,6,107.6,21
625,LS0161,12/1/2025,14,10,7,2,15,0,21.6,24
626,LS0161,10/1/2025,39,26,19,0,7,9,36.6,15
627,LS0161,6/1/2025,36,20,11,3,7,4,47.9,19
628,LS0161,5/1/2025,36,20,11,1,2,6,19.1,21
629,LS0161,9/1/2025,23,11,9,0,12,0,27.7,16
630,LS0161,4/1/2025,29,20,15,3,7,2,11.5,16
631,LS0162,3/1/2025,29,18,10,2,0,7,68.4,10
632,LS0162,2/1/2025,20,11,9,2,13,2,77.2,26
633,LS0162,8/1/2025,40,17,12,1,7,5,96.1,22
634,LS0162,6/1/2025,20,10,6,3,12,3,49.3,13
635,LS0162,1/1/2025,27,15,11,0,2,7,51.9,14
636,LS0162,10/1/2025,7,4,3,0,1,8,72,16
637,LS0163,10/1/2025,44,31,21,1,0,4,148.6,15
638,LS0163,3/1/2025,45,22,14,6,2,0,140.7,15
639,LS0163,8/1/2025,22,12,8,3,0,9,89.8,26
640,LS0164,3/1/2025,35,18,15,2,4,2,102.2,19
641,LS0164,10/1/2025,34,18,12,2,2,2,78.6,23
642,LS0164,4/1/2025,29,16,13,3,6,0,50,15
643,LS0164,5/1/2025,14,9,7,1,11,0,105.1,18
644,LS0164,11/1/2025,25,15,11,2,15,2,86.4,18
645,LS0164,8/1/2025,14,8,4,0,1,0,91.6,17
646,LS0165,5/1/2025,39,25,13,4,2,1,68,19
647,LS0165,1/1/2025,34,21,15,2,1,12,118.6,19
648,LS0165,8/1/2025,25,14,11,2,1,9,41.5,16
649,LS0165,12/1/2025,18,10,5,3,1,1,71.1,24
650,LS0166,10/1/2025,57,26,18,2,1,2,125.7,13
651,LS0166,9/1/2025,45,29,19,7,7,1,203.2,13
652,LS0166,5/1/2025,25,19,13,1,1,8,131,14
653,LS0166,2/1/2025,5,3,2,0,0,11,219.2,18
654,LS0166,1/1/2025,57,37,22,5,0,4,173.1,12
655,LS0166,8/1/2025,17,8,5,2,14,0,80.3,20
656,LS0167,6/1/2025,20,13,8,3,1,11,124.2,12
657,LS0167,8/1/2025,39,22,15,2,1,8,28.2,14
658,LS0167,2/1/2025,26,14,10,4,2,12,84.1,25
659,LS0167,10/1/2025,22,14,11,3,6,8,48.5,23
660,LS0167,1/1/2025,24,12,7,3,2,0,96,24
661,LS0167,3/1/2025,44,32,16,2,0,4,106.5,26
662,LS0168,2/1/2025,40,23,17,2,5,11,93.7,23
663,LS0168,12/1/2025,20,9,5,1,3,7,126.1,26
664,LS0169,10/1/2025,23,9,6,0,4,11,37,15
665,LS0169,4/1/2025,42,24,20,1,6,9,33.4,25
666,LS0169,2/1/2025,31,13,7,3,0,2,39.6,18
667,LS0170,3/1/2025,37,23,19,3,0,3,97.7,12
668,LS0170,11/1/2025,53,32,19,6,1,3,198.7,15
669,LS0170,1/1/2025,28,12,7,1,0,6,162.8,12
670,LS0170,10/1/2025,13,9,7,1,8,6,171.6,18
671,LS0170,9/1/2025,40,16,9,1,1,5,100,13
672,LS0171,3/1/2025,22,15,8,3,0,0,206,19
673,LS0171,5/1/2025,9,4,3,1,13,7,184.5,17
674,LS0171,4/1/2025,22,11,6,2,1,3,126.5,14
675,LS0172,10/1/2025,47,21,13,6,0,1,70,18
676,LS0172,8/1/2025,26,13,7,2,0,2,161.5,11
677,LS0172,4/1/2025,33,23,17,2,14,0,161.1,19
678,LS0172,5/1/2025,22,15,12,1,0,2,140.6,11
679,LS0172,9/1/2025,8,4,3,1,15,7,212.9,25
680,LS0172,3/1/2025,13,6,4,1,6,1,99.7,16
681,LS0173,7/1/2025,45,25,15,1,2,7,65.4,25
682,LS0173,8/1/2025,23,15,10,3,4,9,47.6,25
683,LS0174,11/1/2025,20,13,9,1,13,7,149.8,13
684,LS0174,9/1/2025,24,16,8,0,2,1,87.3,11
685,LS0174,2/1/2025,44,30,22,2,0,5,178.8,25
686,LS0174,6/1/2025,24,16,9,1,14,2,165.1,20
687,LS0174,7/1/2025,44,18,14,0,3,9,112,26
688,LS0174,1/1/2025,35,20,16,1,1,10,170.6,17
689,LS0175,8/1/2025,20,8,6,3,6,11,104.5,25
690,LS0175,12/1/2025,22,9,6,1,0,3,47.7,23
691,LS0176,5/1/2025,49,36,25,3,3,11,77.1,25
692,LS0176,10/1/2025,19,9,6,2,4,6,107.4,21
693,LS0176,9/1/2025,23,9,5,1,13,0,77.6,15
694,LS0177,6/1/2025,22,16,9,2,3,0,177.8,13
695,LS0177,4/1/2025,38,15,12,1,3,12,108.2,20
696,LS0177,5/1/2025,31,22,16,0,13,2,124.2,14
697,LS0177,2/1/2025,15,10,6,1,3,4,247.1,24
698,LS0177,1/1/2025,22,9,5,3,1,8,148.7,11
699,LS0177,10/1/2025,34,18,10,1,0,1,50.8,26
700,LS0178,6/1/2025,34,23,15,3,0,1,41.9,13
701,LS0178,3/1/2025,21,12,7,2,10,0,14.3,16
702,LS0178,8/1/2025,22,16,14,0,8,5,38.5,10
703,LS0178,4/1/2025,11,7,5,1,8,7,46.1,20
704,LS0179,12/1/2025,36,24,12,4,5,6,86.6,17
705,LS0179,10/1/2025,36,22,16,5,5,12,44.5,10
706,LS0179,2/1/2025,46,29,22,6,0,10,109.7,14
707,LS0179,7/1/2025,45,24,13,4,3,12,63.1,20
708,LS0179,1/1/2025,26,16,10,2,4,4,54.6,16
709,LS0179,4/1/2025,4,2,1,1,13,7,81.3,17
710,LS0180,11/1/2025,23,13,8,3,3,12,16.9,15
711,LS0180,4/1/2025,15,7,5,0,13,6,28.3,22
712,LS0180,9/1/2025,49,20,13,2,0,2,38.4,19
713,LS0180,5/1/2025,38,23,17,2,5,5,25.6,21
714,LS0180,7/1/2025,16,9,5,2,13,3,22.4,26
715,LS0180,2/1/2025,39,21,18,4,7,0,31.9,18
716,LS0181,1/1/2025,34,16,11,3,4,2,172,14
717,LS0182,9/1/2025,23,12,10,2,1,10,137.8,10
718,LS0182,7/1/2025,32,18,14,3,4,7,150.5,16
719,LS0182,3/1/2025,22,11,7,2,11,2,201.4,23
720,LS0182,1/1/2025,25,10,6,2,6,2,172.9,25
721,LS0182,8/1/2025,28,18,9,3,1,12,237.5,11
722,LS0182,6/1/2025,27,13,7,1,12,0,156,21
723,LS0183,7/1/2025,26,13,10,1,3,3,197.2,17
724,LS0183,8/1/2025,9,4,3,1,0,2,154,19
725,LS0183,2/1/2025,21,9,6,1,1,7,55.6,14
726,LS0183,11/1/2025,11,8,4,1,14,7,205.2,21
727,LS0183,10/1/2025,25,18,10,2,10,0,146.5,26
728,LS0183,5/1/2025,15,11,9,1,10,6,133,11
729,LS0184,2/1/2025,37,24,14,0,2,9,230.8,12
730,LS0184,7/1/2025,26,19,16,3,11,7,165.6,10
731,LS0184,11/1/2025,29,21,12,3,15,4,189,22
732,LS0184,9/1/2025,19,13,9,1,3,0,58.3,19
733,LS0184,1/1/2025,29,12,9,2,2,2,212.6,20
734,LS0185,7/1/2025,41,25,20,2,2,10,123.6,23
735,LS0185,2/1/2025,23,13,10,0,1,7,54,21
736,LS0185,10/1/2025,37,15,10,3,1,7,104.9,26
737,LS0185,11/1/2025,42,25,14,6,1,12,49.3,14
738,LS0185,12/1/2025,35,16,12,4,2,0,66.6,12
739,LS0185,8/1/2025,37,27,14,2,2,10,63,14
740,LS0186,3/1/2025,38,16,13,5,1,4,171.6,12
741,LS0186,7/1/2025,47,33,22,1,2,5,156.5,13
742,LS0186,9/1/2025,22,13,10,0,4,7,187.1,12
743,LS0187,9/1/2025,27,13,11,3,1,8,106,14
744,LS0187,7/1/2025,25,15,8,1,4,11,115.7,12
745,LS0187,2/1/2025,46,25,20,5,2,11,110.2,18
746,LS0188,2/1/2025,40,29,24,4,2,3,49.3,22
747,LS0188,1/1/2025,18,10,8,1,12,0,36.7,12
748,LS0188,11/1/2025,9,7,4,0,0,7,26.5,12
749,LS0188,8/1/2025,30,15,9,1,2,2,34,17
750,LS0188,12/1/2025,45,22,14,3,4,7,47.1,24
751,LS0189,11/1/2025,29,14,11,0,8,6,33.6,25
752,LS0189,10/1/2025,41,21,13,2,3,12,36.9,17
753,LS0189,12/1/2025,28,12,8,3,13,0,29.4,23
754,LS0190,11/1/2025,28,21,16,2,10,8,76.3,26
755,LS0190,6/1/2025,15,8,6,1,13,2,81.1,26
756,LS0190,2/1/2025,17,8,4,2,8,0,24.3,26
757,LS0190,12/1/2025,27,20,13,2,2,7,63.2,22
758,LS0190,4/1/2025,48,31,18,5,1,2,81.4,13
759,LS0191,7/1/2025,15,11,8,1,8,4,117.2,26
760,LS0191,10/1/2025,35,25,21,5,0,6,213.4,24
761,LS0191,4/1/2025,14,7,4,1,8,0,51.8,17
762,LS0191,1/1/2025,17,12,8,0,15,0,207.8,12
763,LS0191,3/1/2025,17,8,4,3,4,5,105.7,11
764,LS0191,12/1/2025,42,26,15,1,0,0,243.3,25
765,LS0192,11/1/2025,28,12,10,4,9,4,58.7,26
766,LS0192,10/1/2025,34,14,9,2,0,4,71.2,22
767,LS0192,1/1/2025,16,9,7,1,11,3,83.5,21
768,LS0193,3/1/2025,28,13,7,4,0,5,144,17
769,LS0193,4/1/2025,47,28,15,2,3,10,181.2,19
770,LS0193,6/1/2025,28,20,11,3,6,4,122.3,24
771,LS0193,2/1/2025,37,15,11,2,3,4,112,25
772,LS0193,1/1/2025,19,12,8,0,6,0,156.5,19
773,LS0194,6/1/2025,18,13,11,1,1,5,62.9,10
774,LS0194,8/1/2025,32,15,8,5,2,6,62.7,20
775,LS0194,5/1/2025,46,32,22,6,0,10,62.9,26
776,LS0195,12/1/2025,20,13,7,2,15,3,70.3,23
777,LS0195,6/1/2025,37,16,8,2,3,2,111.6,23
778,LS0196,8/1/2025,12,8,5,0,13,0,37.9,25
779,LS0196,10/1/2025,24,15,11,3,3,12,29.3,16
780,LS0196,6/1/2025,69,48,27,5,0,9,17.7,14
781,LS0196,11/1/2025,39,22,16,3,3,12,50.8,25
782,LS0197,4/1/2025,45,29,24,7,3,3,154.2,18
783,LS0197,2/1/2025,20,12,10,2,6,9,164.1,20
784,LS0197,5/1/2025,9,6,4,1,2,4,124.8,17
785,LS0197,3/1/2025,9,4,3,1,14,1,176.6,15
786,LS0197,1/1/2025,40,22,12,5,3,0,223.8,26
787,LS0198,10/1/2025,26,13,8,1,1,6,61.2,25
788,LS0198,7/1/2025,29,13,7,4,3,1,124.9,12
789,LS0199,8/1/2025,21,10,5,2,1,10,140.3,22
790,LS0199,7/1/2025,19,11,7,1,9,0,174.6,24
791,LS0199,4/1/2025,43,24,12,6,2,3,117.3,18
792,LS0199,12/1/2025,23,10,7,3,0,6,203,11
793,LS0199,5/1/2025,52,21,16,7,1,8,214,22
794,LS0200,2/1/2025,14,8,7,2,8,5,49.2,21
795,LS0200,7/1/2025,50,26,18,1,4,10,23.7,18
796,LS0200,3/1/2025,51,32,27,0,2,0,30.5,23
797,LS0200,8/1/2025,23,12,8,1,8,1,40.9,11
798,LS0201,7/1/2025,26,17,12,3,1,1,16.5,16
799,LS0201,4/1/2025,29,16,13,3,0,11,55.3,15
800,LS0201,5/1/2025,25,14,8,1,0,10,27.1,18
801,LS0201,2/1/2025,25,13,10,2,5,3,25.8,16
802,LS0201,10/1/2025,52,37,19,1,7,3,38.4,24
803,LS0202,2/1/2025,43,27,14,4,0,11,46.5,11
804,LS0202,3/1/2025,32,19,13,3,2,12,58.2,10
805,LS0202,12/1/2025,13,6,4,0,0,6,69.6,11
806,LS0202,8/1/2025,10,4,3,1,6,9,78.1,25
807,LS0202,7/1/2025,42,20,12,3,5,9,60.5,16
808,LS0202,11/1/2025,50,37,22,7,5,12,84.9,13
809,LS0203,3/1/2025,20,9,7,3,13,0,32.7,12
810,LS0203,7/1/2025,27,12,7,2,8,0,28.7,12
811,LS0203,5/1/2025,42,21,18,2,1,5,32.3,25
812,LS0203,12/1/2025,48,36,20,6,3,10,35.2,14
813,LS0204,9/1/2025,42,28,21,5,1,4,57,26
814,LS0204,7/1/2025,33,20,11,2,5,8,17,12
815,LS0204,10/1/2025,24,14,11,1,3,10,36.9,25
816,LS0204,8/1/2025,34,24,20,3,1,5,23.7,25
817,LS0204,2/1/2025,31,20,14,4,5,9,48.6,10
818,LS0204,11/1/2025,46,26,15,4,2,1,37.1,21
819,LS0205,4/1/2025,43,22,13,2,1,9,44.5,10
820,LS0205,3/1/2025,37,26,19,0,2,3,31.2,14
821,LS0205,5/1/2025,19,11,7,0,13,0,40.7,24
822,LS0205,2/1/2025,13,9,5,1,4,0,44.2,23
823,LS0206,9/1/2025,8,5,4,1,8,0,209.2,24
824,LS0206,6/1/2025,42,25,14,1,0,11,150.3,14
825,LS0207,11/1/2025,7,3,2,1,10,5,31.2,13
826,LS0207,6/1/2025,26,15,12,2,8,2,35.2,24
827,LS0207,4/1/2025,31,17,9,2,2,1,41.6,15
828,LS0207,12/1/2025,35,15,11,1,3,8,28.6,11
829,LS0208,5/1/2025,62,37,20,1,0,7,81.5,25
830,LS0208,4/1/2025,9,5,3,1,8,1,102.7,16
831,LS0208,9/1/2025,22,12,10,0,12,5,192.3,26
832,LS0208,11/1/2025,37,22,15,0,2,2,125.9,10
833,LS0208,3/1/2025,25,15,10,1,0,9,190.8,24
834,LS0208,12/1/2025,28,19,10,2,1,2,87.2,13
835,LS0209,9/1/2025,42,20,12,2,4,0,7,11
836,LS0209,3/1/2025,16,11,8,1,9,2,24,15
837,LS0209,7/1/2025,19,12,7,2,1,9,59.9,15
838,LS0209,6/1/2025,26,11,9,1,3,6,36,18
839,LS0209,8/1/2025,42,21,14,5,2,10,45.1,11
840,LS0210,1/1/2025,26,17,11,3,3,2,139.2,26
841,LS0210,6/1/2025,34,24,16,1,3,2,77,15
842,LS0210,8/1/2025,19,10,6,0,8,9,173.4,24
843,LS0211,8/1/2025,15,11,7,1,4,1,53.2,21
844,LS0211,11/1/2025,37,16,8,3,3,1,49.6,18
845,LS0211,9/1/2025,12,6,5,1,12,6,49.1,18
846,LS0211,12/1/2025,21,14,11,2,7,4,33.4,22
847,LS0211,6/1/2025,27,20,14,3,3,6,35.6,23
848,LS0211,2/1/2025,18,9,6,3,6,0,31.9,10
849,LS0212,5/1/2025,30,19,15,2,1,0,68.5,23
850,LS0212,12/1/2025,32,18,10,2,6,7,69.1,19
851,LS0212,4/1/2025,19,12,9,2,3,7,107.6,25
852,LS0212,1/1/2025,20,10,7,0,3,7,88.1,14
853,LS0213,11/1/2025,19,10,8,3,3,6,39.3,18
854,LS0213,3/1/2025,13,8,6,1,0,5,58.7,22
855,LS0214,2/1/2025,22,10,8,1,7,12,60.5,22
856,LS0214,6/1/2025,13,5,4,2,3,3,27.9,24
857,LS0214,1/1/2025,37,25,13,2,2,8,112.8,12
858,LS0215,8/1/2025,26,17,13,3,11,0,30.6,16
859,LS0215,9/1/2025,23,13,10,0,12,4,27.2,14
860,LS0215,10/1/2025,2043,10,8,2,3,11,23.4,16
861,LS0215,12/1/2025,8,4,3,1,10,0,13.9,16
862,LS0215,5/1/2025,26,15,13,1,3,12,31.7,16
863,LS0216,11/1/2025,48,23,14,3,1,1,222.5,14
864,LS0216,10/1/2025,16,12,10,2,7,11,160.2,23
865,LS0216,1/1/2025,12,5,4,1,13,0,207.1,22
866,LS0216,2/1/2025,20,12,7,3,8,8,141.7,13
867,LS0216,5/1/2025,40,29,22,1,3,10,151.4,12
868,LS0216,7/1/2025,51,36,21,8,0,8,135.6,18
869,LS0217,7/1/2025,27,20,13,4,3,0,41.2,24
870,LS0217,10/1/2025,45,24,13,0,3,3,24,20
871,LS0217,6/1/2025,24,10,7,0,2,1,20,13
872,LS0218,3/1/2025,14,7,5,1,3,2,182.6,14
873,LS0218,6/1/2025,18,11,6,3,12,0,126.2,25
874,LS0218,5/1/2025,46,21,15,1,0,9,119.5,10
